 Project Type,Category,Sub Category,Model,Serial No.,UDISE Code
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,DS23G-26885,18240414303
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,DS23G-27068,18240413706
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,DS23G-26768,18240406602
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,DS23G-26801,18240408202
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,DS23G-27339,18240411105
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,DS23G-26850,18240410505
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,DS23G-26882,18240419704
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,DS23G-27080,18240420001
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,26232910005617,18240421405
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,52225466647791,18240409109
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,33304351367555,18240407910
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,91768336443052,18240414605
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,DS23G-26883,18240404628
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,DS23G-26864,18240412204
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,DS23G-27344,18240407710
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122305504390,18240419402
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,DS23G-27323,18240420502
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,DS23G-27178,18240402707
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306502666,18240409906
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122305504050,18240304606
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122305504796,18240305806
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122305504072,18240307908
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122305504716,18240304501
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122305504700,18240302707
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122305504041,18240303807
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122305504033,18240307308
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122305509951,18240308009
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122305504706,18240302603
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,8312230550495,18240307801
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122305504961,18240305004
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122305504074,18240301105
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122305504910,18240304805
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122305504907,18240303507
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306502909,18050612502
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306502916,18050606004
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306502921,18050611103
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306502743,18050612404
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503350,18050616612
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306502917,18050602307
